"status","httpStatus","kind","storeId","city","url","redirectTo","redirectDomain","usedBy","error"
"ok","200","google_maps","le-labo-daikanyama","tokyo","https://maps.google.co.jp/maps?f=q&hl=ja&iwloc=B&q=%E3%83%AB+%E3%83%A9%E3%83%9C+%E4%BB%A3%E5%AE%98%E5%B1%B1","","","le-labo-daikanyama:google_maps",""
"ok","200","google_maps","le-labo-aoyama","tokyo","https://maps.google.co.jp/maps?f=q&hl=ja&iwloc=B&q=%E3%83%AB+%E3%83%A9%E3%83%9C+%E9%9D%92%E5%B1%B1","","","le-labo-aoyama:google_maps",""
"ok","200","google_maps","le-labo-ginza-six","tokyo","https://maps.google.co.jp/maps?f=q&hl=ja&iwloc=B&q=%E3%83%AB+%E3%83%A9%E3%83%9C+GINZA+SIX","","","le-labo-ginza-six:google_maps",""
"ok","200","google_maps","le-labo-shibuya-parco","tokyo","https://maps.google.co.jp/maps?f=q&hl=ja&iwloc=B&q=%E3%83%AB+%E3%83%A9%E3%83%9C+%E6%B8%8B%E8%B0%B7%E3%83%91%E3%83%AB%E3%82%B3","","","le-labo-shibuya-parco:google_maps",""
"redirect","302","google_maps","le-labo-futakotamagawa","tokyo","https://goo.gl/maps/oDQ1HKMta6eTWFFc9","https://www.google.com/maps/place/%E3%80%92158-0094+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E7%8E%89%E5%B7%9D%EF%BC%93%E4%B8%81%E7%9B%AE%EF%BC%98%E2%88%92%EF%BC%92+%E3%82%BF%E3%82%A4%E3%82%AC%E3%83%BC%E3%83%93%E3%83%AB+1f/@35.6128255,139.6238669,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f415c7535589:0xb346fbe346938786!8m2!3d35.6128212!4d139.6260609?shorturl=1","www.google.com","le-labo-futakotamagawa:google_maps",""
"ok","200","official","diptyque-ginza-six","tokyo","https://stores.diptyqueparis.com/ja_jp/diptyque-ginza-six","","","diptyque-ginza-six:official|diptyque-ginza-six:source",""
"ok","200","google_maps","diptyque-ginza-six","tokyo","https://www.google.com/maps/search/?api=1&query=Diptyque%20GINZA%20SIX","","","diptyque-ginza-six:google_maps",""
"ok","200","official","diptyque-aoyama","tokyo","https://stores.diptyqueparis.com/ja_jp/diptyque-aoyama","","","diptyque-aoyama:official|diptyque-aoyama:source",""
"ok","200","google_maps","diptyque-aoyama","tokyo","https://www.google.com/maps/search/?api=1&query=Diptyque%20Aoyama","","","diptyque-aoyama:google_maps",""
"ok","200","official","diptyque-omotesando","tokyo","https://stores.diptyqueparis.com/ja_jp/diptyque-omotesando","","","diptyque-omotesando:official|diptyque-omotesando:source",""
"ok","200","google_maps","diptyque-omotesando","tokyo","https://www.google.com/maps/search/?api=1&query=Diptyque%20Omotesando","","","diptyque-omotesando:google_maps",""
"ok","200","official","diptyque-marunouchi","tokyo","https://stores.diptyqueparis.com/ja_jp/diptyque-marunouchi","","","diptyque-marunouchi:official|diptyque-marunouchi:source",""
"ok","200","google_maps","diptyque-marunouchi","tokyo","https://www.google.com/maps/search/?api=1&query=Diptyque%20Marunouchi","","","diptyque-marunouchi:google_maps",""
"ok","200","official","diptyque-shibuya-scramble-square","tokyo","https://stores.diptyqueparis.com/ja_jp/diptyque-shibuya-scramble-square","","","diptyque-shibuya-scramble-square:official|diptyque-shibuya-scramble-square:source",""
"ok","200","google_maps","diptyque-shibuya-scramble-square","tokyo","https://www.google.com/maps/search/?api=1&query=Diptyque%20Shibuya%20Scramble%20Square","","","diptyque-shibuya-scramble-square:google_maps",""
"ok","200","official","shiro-omotesando","tokyo","https://shiro-shiro.jp/ec/ext/shop/omotesando/index.html","","","shiro-omotesando:official|shiro-omotesando:source",""
"ok","200","google_maps","shiro-omotesando","tokyo","https://www.google.com/maps/search/?api=1&query=SHIRO%20Omotesando","","","shiro-omotesando:google_maps",""
"ok","200","official","shiro-marunouchi","tokyo","https://shiro-shiro.jp/ec/ext/shop/index.html","","","shiro-marunouchi:official|shiro-marunouchi:source|shiro-shibuya-parco:official|shiro-shibuya-parco:source|shiro-shinjuku:official|shiro-shinjuku:source",""
"ok","200","google_maps","shiro-marunouchi","tokyo","https://www.google.com/maps/search/?api=1&query=SHIRO%20Marunouchi","","","shiro-marunouchi:google_maps",""
"ok","200","google_maps","shiro-shibuya-parco","tokyo","https://www.google.com/maps/search/?api=1&query=SHIRO%20Shibuya%20PARCO","","","shiro-shibuya-parco:google_maps",""
"ok","200","google_maps","shiro-shinjuku","tokyo","https://www.google.com/maps/search/?api=1&query=SHIRO%20Lumine%20Est%20Shinjuku","","","shiro-shinjuku:google_maps",""
"ok","200","official","nose-shop-shinjuku","tokyo","https://noseshop.jp/pages/shop","","","nose-shop-shinjuku:official|nose-shop-shinjuku:source|nose-shop-slope:official|nose-shop-slope:source|nose-shop-shibuya:official|nose-shop-shibuya:source|nose-shop-shibuya-hikarie:official|nose-shop-shibuya-hikarie:source|nose-shop-yurakucho:official|nose-shop-yurakucho:source|nose-shop-ginza:official|nose-shop-ginza:source|etat-libre-d-orange-harajuku:official|etat-libre-d-orange-harajuku:source",""
"ok","200","google_maps","nose-shop-shinjuku","tokyo","https://www.google.com/maps/search/?api=1&query=NOSE%20SHOP%20Shinjuku","","","nose-shop-shinjuku:google_maps",""
"ok","200","google_maps","nose-shop-slope","tokyo","https://www.google.com/maps/search/?api=1&query=NOSE%20SHOP%20SLOPE","","","nose-shop-slope:google_maps",""
"ok","200","google_maps","nose-shop-shibuya","tokyo","https://www.google.com/maps/search/?api=1&query=NOSE%20SHOP%20Shibuya","","","nose-shop-shibuya:google_maps",""
"ok","200","google_maps","nose-shop-shibuya-hikarie","tokyo","https://www.google.com/maps/search/?api=1&query=NOSE%20SHOP%20Shibuya%20Hikarie","","","nose-shop-shibuya-hikarie:google_maps",""
"ok","200","google_maps","nose-shop-yurakucho","tokyo","https://www.google.com/maps/search/?api=1&query=NOSE%20SHOP%20Yurakucho","","","nose-shop-yurakucho:google_maps",""
"ok","200","google_maps","nose-shop-ginza","tokyo","https://www.google.com/maps/search/?api=1&query=NOSE%20SHOP%20Ginza%20Matsuya","","","nose-shop-ginza:google_maps",""
"ok","200","google_maps","etat-libre-d-orange-harajuku","tokyo","https://www.google.com/maps/search/?api=1&query=Etat%20Libre%20d%27Orange%20Harajuku","","","etat-libre-d-orange-harajuku:google_maps",""
"redirect","308","official","aesop-ginza","tokyo","https://www.aesop.com/jp/r/aesop-ginza/","https://www.aesop.co.jp/jp/r/aesop-ginza/","www.aesop.co.jp","aesop-ginza:official|aesop-ginza:source",""
"ok","200","google_maps","aesop-ginza","tokyo","https://www.google.com/maps/search/?api=1&query=Aesop%20Ginza","","","aesop-ginza:google_maps",""
"redirect","308","official","aesop-minami-aoyama","tokyo","https://www.aesop.com/jp/r/aesop-minamiaoyama/","https://www.aesop.co.jp/jp/r/aesop-minamiaoyama/","www.aesop.co.jp","aesop-minami-aoyama:official|aesop-minami-aoyama:source",""
"ok","200","google_maps","aesop-minami-aoyama","tokyo","https://www.google.com/maps/search/?api=1&query=Aesop%20Minami%20Aoyama","","","aesop-minami-aoyama:google_maps",""
"ok","200","official","maison-margiela-ebisu","tokyo","https://www.maisonmargiela.com/ja-jp/stores","","","maison-margiela-ebisu:official|maison-margiela-ebisu:source",""
"redirect","302","google_maps","maison-margiela-ebisu","tokyo","https://maps.google.com/?daddr=35.64463263046623%2C139.7087402656414","https://maps.google.com/maps?daddr=35.64463263046623%2C139.7087402656414","maps.google.com","maison-margiela-ebisu:google_maps",""
"blocked","403","official","chanel-fragrance-beauty-ginza-six","tokyo","https://www.chanel.com/jp/storelocator/store/chanel-fragrance-beauty-ginza-six-74675/","","","chanel-fragrance-beauty-ginza-six:official|chanel-fragrance-beauty-ginza-six:source",""
"ok","200","google_maps","chanel-fragrance-beauty-ginza-six","tokyo","https://www.google.com/maps/search/?api=1&query=Chanel%20Fragrance%20Beauty%20GINZA%20SIX","","","chanel-fragrance-beauty-ginza-six:google_maps",""
"blocked","403","official","jo-malone-london-marunouchi","tokyo","https://www.jomalone.jp/store/448980/tokyo/chiyoda-ku/","","","jo-malone-london-marunouchi:official|jo-malone-london-marunouchi:source",""
"ok","200","google_maps","jo-malone-london-marunouchi","tokyo","https://www.google.com/maps/search/?api=1&query=Jo%20Malone%20London%20Marunouchi","","","jo-malone-london-marunouchi:google_maps",""
"ok","200","official","parfum-satori-roppongi","tokyo","https://parfum-satori.com/?mode=f39","","","parfum-satori-roppongi:official|parfum-satori-roppongi:source",""
"ok","200","google_maps","parfum-satori-roppongi","tokyo","https://www.google.com/maps/search/?api=1&query=Parfum%20Satori%20Roppongi","","","parfum-satori-roppongi:google_maps",""
