slug,brand,name,category,label,declaredType,detectedType,url,formatValid,duplicateCount,status,httpStatus,finalUrl,redirectCount,expectedDomain,domainMatch,checkedAt,note
calvin-klein-1,Calvin Klein,エタニティ フォーメン,purchase,rakuten,product,product,https://hb.afl.rakuten.co.jp/hgc/g00pv5mn.k90d6eb3.g00pv5mn.k90d71f1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2F571691%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuimonogatari%2Fi%2F10010631%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,true,1,redirect,200,https://item.rakuten.co.jp/kousuimonogatari/571691/?scid=af_pc_etc&sc2id=af_101_0_0&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,3,rakuten.co.jp,true,2026-07-18T12:36:58.043Z,
ysl-2,YSL,リブレ オーデパルファン,purchase,official,product,,https://www.yslbeauty.com/int/fragrance/fragrance-for-her/libre/libre-eau-de-parfum/WW-50424YSL.html,true,2,ok,200,https://www.yslbeauty.com/int/fragrance/fragrance-for-her/libre/libre-eau-de-parfum/WW-50424YSL.html,0,www.yslbeauty.com,true,2026-07-18T12:36:59.180Z,duplicate_url_across_fields
ysl-2,YSL,リブレ オーデパルファン,purchase,rakuten,product,product,https://hb.afl.rakuten.co.jp/hgc/g00u7byn.k90d65e3.g00u7byn.k90d7632/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fyslbeauty%2Fww-50424ysl%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fyslbeauty%2Fi%2F10000000%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,true,1,redirect,200,https://item.rakuten.co.jp/yslbeauty/ww-50424ysl/?scid=af_pc_etc&sc2id=af_101_0_0&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,3,rakuten.co.jp,true,2026-07-18T12:37:10.097Z,
ysl-2,YSL,リブレ オーデパルファン,source,1:official,,,https://www.yslbeauty.com/int/fragrance/fragrance-for-her/libre/libre-eau-de-parfum/WW-50424YSL.html,true,2,ok,200,https://www.yslbeauty.com/int/fragrance/fragrance-for-her/libre/libre-eau-de-parfum/WW-50424YSL.html,0,www.yslbeauty.com,true,2026-07-18T12:37:11.067Z,duplicate_url_across_fields
chanel-3,Chanel,チャンス オー タンドゥル,purchase,rakuten,product,product,https://hb.afl.rakuten.co.jp/hgc/g00svf6n.k90d68b6.g00svf6n.k90d7eab/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fbrilliantworld%2Fchanel-chance-edp%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fbrilliantworld%2Fi%2F10001495%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,true,1,redirect,200,https://item.rakuten.co.jp/brilliantworld/chanel-chance-edp/?scid=af_pc_etc&sc2id=af_101_0_0&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,3,rakuten.co.jp,true,2026-07-18T12:37:21.921Z,
dior-4,Dior,ジャドール,purchase,official,product,,https://www.dior.com/ja_jp/beauty/products/%E3%82%B8%E3%83%A3%E3%83%89%E3%83%BC%E3%83%AB-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%91%E3%83%AB%E3%83%95%E3%82%A1%E3%83%B3-Y0998031.html,true,2,blocked,403,https://www.dior.com/ja_jp/beauty/products/%E3%82%B8%E3%83%A3%E3%83%89%E3%83%BC%E3%83%AB-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%91%E3%83%AB%E3%83%95%E3%82%A1%E3%83%B3-Y0998031.html,0,www.dior.com,true,2026-07-18T12:37:22.500Z,duplicate_url_across_fields
dior-4,Dior,ジャドール,purchase,rakuten,product,product,https://hb.afl.rakuten.co.jp/hgc/g00pl3fn.k90d6b94.g00pl3fn.k90d70c3/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fwish%2F1516362%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fwish%2Fi%2F10016597%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,true,1,redirect,200,https://item.rakuten.co.jp/wish/1516362/?scid=af_pc_etc&sc2id=af_101_0_0&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,3,rakuten.co.jp,true,2026-07-18T12:37:33.310Z,
dior-4,Dior,ジャドール,source,1:official,,,https://www.dior.com/ja_jp/beauty/products/%E3%82%B8%E3%83%A3%E3%83%89%E3%83%BC%E3%83%AB-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%91%E3%83%AB%E3%83%95%E3%82%A1%E3%83%B3-Y0998031.html,true,2,blocked,403,https://www.dior.com/ja_jp/beauty/products/%E3%82%B8%E3%83%A3%E3%83%89%E3%83%BC%E3%83%AB-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%91%E3%83%AB%E3%83%95%E3%82%A1%E3%83%B3-Y0998031.html,0,www.dior.com,true,2026-07-18T12:37:33.836Z,duplicate_url_across_fields
gucci-2,Gucci,ブルーム,purchase,rakuten,product,product,https://hb.afl.rakuten.co.jp/hgc/g00ss3zn.k90d6334.g00ss3zn.k90d7b5a/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuiandco%2Fpage-guc044-100%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuiandco%2Fi%2F10004377%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,true,1,redirect,200,https://item.rakuten.co.jp/kousuiandco/page-guc044-100/?scid=af_pc_etc&sc2id=af_101_0_0&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,3,rakuten.co.jp,true,2026-07-18T12:37:44.752Z,
jo-malone-2,Jo Malone,イングリッシュ ペアー & フリージア,purchase,rakuten,product,product,https://hb.afl.rakuten.co.jp/hgc/g00s3q0n.k90d68a5.g00s3q0n.k90d785c/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fcosme-venus%2F0690251019090%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fcosme-venus%2Fi%2F10001971%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,true,1,redirect,200,https://item.rakuten.co.jp/cosme-venus/0690251019090/?scid=af_pc_etc&sc2id=af_101_0_0&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,3,rakuten.co.jp,true,2026-07-18T12:37:55.923Z,
