"slug","brand","product_name","score","priority","existing_english","selected_phase2","index_ready","official_source","official_link","concentration","sizes","notes_complete","release_year","family","scenes","seasons","editorial_guidance","verified_at","japan_purchasable","safe_link","rakuten_link","moshimo_link","official_price","rakuten_price","missing_required"
"gucci-5","Gucci","ギルティ プールオム オードパルファム","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"gucci-6","Gucci","ギルティ ラブ エディション プールオム","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"guerlain-4","Guerlain","ロム イデアル エクストレム","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"guerlain-5","Guerlain","アビ ルージュ","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"guerlain-6","Guerlain","ゲラン オム","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"hugo-boss-4","Hugo Boss","ボス ボトルド エリクサー インテンス","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"hugo-boss-5","Hugo Boss","ボス ザ セント","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"hugo-boss-6","Hugo Boss","ヒューゴ マン","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"loewe-5","Loewe","ソロ ロエベ セドロ","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"loewe-6","Loewe","アグア デ ロエベ エル","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"versace-5","Versace","エロス エナジー","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"versace-6","Versace","エロス パルファム","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"ysl-9","YSL","ラ ニュイ ド ロム","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"dunhill-1","Dunhill","アイコン","12","excluded","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | concentration | sizes"
"lacoste-5","Lacoste","L.12.12 ノワール","12","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","no","no","officialSource | officialLink | sizes | safeLink"
"paco-rabanne-3","Paco Rabanne","インヴィクタス","11","excluded","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","no","no","officialSource | officialLink | concentration | sizes | safeLink"
"narciso-rodriguez-2","Narciso Rodriguez","フォー ヒム","7","excluded","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","no","no","no","no","no","no","officialSource | officialLink | concentration | sizes | rakuten | japanPurchasable | safeLink"
