slug,brand,name,category,label,declaredType,detectedType,url,formatValid,duplicateCount,status,httpStatus,finalUrl,redirectCount,expectedDomain,domainMatch,checkedAt,note
dior-5,Dior,ソヴァージュ エリクシール,purchase,official,product,,https://www.dior.com/en_us/beauty/products/sauvage-elixir-Y0996460.html,true,2,blocked,403,https://www.dior.com/en_us/beauty/products/sauvage-elixir-Y0996460.html,0,www.dior.com,true,2026-07-18T14:22:39.568Z,duplicate_url_across_fields
dior-5,Dior,ソヴァージュ エリクシール,purchase,rakuten,product,product,https://hb.afl.rakuten.co.jp/hgc/g00pu2mn.k90d68f9.g00pu2mn.k90d7381/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fcosmelink%2F3348901567572%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fcosmelink%2Fi%2F10073737%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,true,1,redirect,200,https://item.rakuten.co.jp/cosmelink/3348901567572/?scid=af_pc_etc&sc2id=af_101_0_0&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,3,rakuten.co.jp,true,2026-07-18T14:22:50.576Z,
dior-5,Dior,ソヴァージュ エリクシール,source,1:official,,,https://www.dior.com/en_us/beauty/products/sauvage-elixir-Y0996460.html,true,2,blocked,403,https://www.dior.com/en_us/beauty/products/sauvage-elixir-Y0996460.html,0,www.dior.com,true,2026-07-18T14:22:39.495Z,duplicate_url_across_fields
ysl-4,YSL,ラ ニュイ ドゥ ロム,purchase,official,product,,https://www.yslbeautyus.com/fragrance/mens-fragrances/la-nuit-de-lhomme/la-nuit-de-lhomme-eau-de-toilette-spray/426YSL.html,true,2,blocked,403,https://www.yslbeautyus.com/fragrance/mens-fragrances/la-nuit-de-lhomme/la-nuit-de-lhomme-eau-de-toilette-spray/426YSL.html,0,www.yslbeautyus.com,true,2026-07-18T14:22:39.573Z,duplicate_url_across_fields
ysl-4,YSL,ラ ニュイ ドゥ ロム,source,1:official,,,https://www.yslbeautyus.com/fragrance/mens-fragrances/la-nuit-de-lhomme/la-nuit-de-lhomme-eau-de-toilette-spray/426YSL.html,true,2,blocked,403,https://www.yslbeautyus.com/fragrance/mens-fragrances/la-nuit-de-lhomme/la-nuit-de-lhomme-eau-de-toilette-spray/426YSL.html,0,www.yslbeautyus.com,true,2026-07-18T14:22:40.113Z,duplicate_url_across_fields
viktor-rolf-2,Viktor&Rolf,スパイスボム,purchase,official,product,,https://us.viktor-rolf.com/fragrance/spicebomb-eau-de-toilette-VKR_030.html,true,2,blocked,403,https://us.viktor-rolf.com/fragrance/spicebomb-eau-de-toilette-VKR_030.html,0,us.viktor-rolf.com,true,2026-07-18T14:22:40.265Z,duplicate_url_across_fields
viktor-rolf-2,Viktor&Rolf,スパイスボム,purchase,rakuten,product,product,https://hb.afl.rakuten.co.jp/hgc/g00t2xcn.k90d6542.g00t2xcn.k90d7130/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fstrawberrynet-beauty%2F138493%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fstrawberrynet-beauty%2Fi%2F10019158%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,true,1,redirect,200,https://item.rakuten.co.jp/strawberrynet-beauty/138493/?scid=af_pc_etc&sc2id=af_101_0_0&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,3,rakuten.co.jp,true,2026-07-18T14:22:50.759Z,
viktor-rolf-2,Viktor&Rolf,スパイスボム,source,1:official,,,https://us.viktor-rolf.com/fragrance/spicebomb-eau-de-toilette-VKR_030.html,true,2,blocked,403,https://us.viktor-rolf.com/fragrance/spicebomb-eau-de-toilette-VKR_030.html,0,us.viktor-rolf.com,true,2026-07-18T14:22:40.737Z,duplicate_url_across_fields
dolce-gabbana-2,Dolce&Gabbana,ザ ワン フォー メン,purchase,official,product,,https://www.dolcegabbana.com/en-us/beauty/perfumes-for-him/the-one-for-men/the-one-for-men-edt-100ml---158057971180509.html?keeplocale=true,true,2,ok,200,https://www.dolcegabbana.com/en-us/beauty/perfumes-for-him/the-one-for-men/the-one-for-men-edt-100ml---158057971180509.html?keeplocale=true,0,www.dolcegabbana.com,true,2026-07-18T14:22:41.847Z,duplicate_url_across_fields
dolce-gabbana-2,Dolce&Gabbana,ザ ワン フォー メン,source,1:official,,,https://www.dolcegabbana.com/en-us/beauty/perfumes-for-him/the-one-for-men/the-one-for-men-edt-100ml---158057971180509.html?keeplocale=true,true,2,ok,200,https://www.dolcegabbana.com/en-us/beauty/perfumes-for-him/the-one-for-men/the-one-for-men-edt-100ml---158057971180509.html?keeplocale=true,0,www.dolcegabbana.com,true,2026-07-18T14:22:43.017Z,duplicate_url_across_fields
